City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
152,Vaini,40,TO,1665538904,73,-21.2,-175.2,78.96,12.66
153,Ginda,0,IN,1665538904,65,30.6945,78.4932,57.18,3.87
154,Limbe,100,CM,1665538904,86,4.0242,9.2149,76.55,3.49
155,Baní,18,DO,1665538904,82,18.2833,-70.3333,79.86,9.6
156,Hailar,100,CN,1665538905,26,49.2,119.7,46.22,8.23
157,Arman',100,RU,1665538905,51,59.7,150.1667,37.02,7.74
158,Tingo María,83,PE,1665538905,82,-9.2895,-76.0088,73.17,1.32
159,Aykhal,100,RU,1665538905,94,66.0,111.5,33.21,8.66
160,Inuvik,75,CA,1665538905,89,68.3499,-133.7218,31.21,5.75
161,Iranshahr,0,IR,1665538781,10,27.2025,60.6848,70.34,4.5
162,Chistogorskiy,100,RU,1665538906,77,53.9835,87.3843,45.28,10.65
163,Cowra,100,AU,1665538906,65,-33.8333,148.6833,67.77,7.31
164,Touros,100,BR,1665538906,76,-5.1989,-35.4608,77.43,15.14
165,Cairns,75,AU,1665538906,76,-16.9167,145.7667,91.06,14.97
166,Beringovskiy,65,RU,1665538906,69,63.05,179.3167,32.47,8.81
167,Port Elizabeth,20,ZA,1665538648,89,-33.918,25.5701,66.31,8.05
168,Assiniboia,5,CA,1665538906,29,49.6334,-105.9845,49.82,18.41
169,Karratha,1,AU,1665538907,25,-20.7377,116.8463,82.9,15.5
170,Aksu,0,CN,1665538907,44,41.1231,80.2644,50.16,6.53
171,Hatillo,2,PR,1665538907,92,18.4863,-66.8254,79.11,12.53
172,Kaitangata,9,NZ,1665538907,48,-46.2817,169.8464,52.88,7.23
173,Chicama,76,PE,1665538908,82,-7.8447,-79.1469,57.74,6.89
174,Chui,100,UY,1665538908,94,-33.6971,-53.4616,55.51,9.64
175,Lorengau,83,PG,1665538908,55,-2.0226,147.2712,85.73,6.76
176,Yuxia,100,CN,1665538908,54,34.0615,108.6291,56.01,3.18
177,Saskylakh,96,RU,1665538645,96,71.9167,114.0833,27.07,5.23
178,Province of Brindisi,46,IT,1665538656,86,40.5833,17.6667,64.76,9.24
179,Pangoa,94,PE,1665538908,83,-12.1167,-73.0,72.01,3.24
180,Bafra,100,TR,1665538909,81,41.5678,35.9069,64.31,3.51
181,Alexandria,85,EG,1665538773,69,31.2156,29.9553,73.0,7.9
182,Bambanglipuro,98,ID,1665538914,75,-7.95,110.2833,81.63,11.65
183,Gornopravdinsk,19,RU,1665538914,97,60.05,69.9,34.86,4.23
184,Kununurra,47,AU,1665538914,41,-15.7667,128.7333,94.98,5.75
185,Atambua,100,ID,1665538915,59,-9.1061,124.8925,84.36,4.65
186,Salym,9,RU,1665538915,97,60.0625,71.4789,34.66,5.17
187,Cidreira,100,BR,1665538915,98,-30.1811,-50.2056,63.93,5.39
188,Shilka,3,RU,1665538915,52,51.85,116.0333,45.19,10.71
